requirement_id,origin,company_item_ids,original_phrases,design_supplement
FR-T09,Added design details (supporting a company goal),BIZ-12,"general maintenance (regular, reactive and preventive)","Photos, replacement parts, and report version management"
FR-T10,Added design details (supporting a company goal),BIZ-13,Thermostat / Remote Control,Technician control permissions and test-run steps
FR-T11,Added design details (supporting a company goal),BIZ-20,gadget to be small / firmware / stolen and/or removed,"Simulated registration, calibration, and update steps"
FR-T12,Company original SRC-06 + added design details,BIZ-20,gadget to be small / firmware / stolen and/or removed,"Distinguish communication loss, power loss, and removal"
FR-A01,Company original SRC-06 + added design details,BIZ-04;BIZ-08,For End Users/Clients / Technicians / Admin/HQ; Purpose is to monitor every aspect,Overall aggregation and links to assigned work
FR-A02,Company original SRC-06 + added design details,BIZ-07,Select for Categories,"Registration, editing, and archiving"
FR-A03,Added design details (supporting a company goal),BIZ-04,For End Users/Clients / Technicians / Admin/HQ,"Permission, membership, and assignment period management"
FR-A04,Company original SRC-06 + added design details,BIZ-06;BIZ-20,For HVAC / any air con brands; gadget to be small / firmware / stolen and/or removed,Edit model capabilities and IoT register
FR-A05,Company original SRC-06 + added design details,BIZ-08;BIZ-11;BIZ-17,Purpose is to monitor every aspect; Predictive Maintenance / Predictive diagnostics; Automated Comfort / open window or uninsulated wall,Threshold settings and alert handling
FR-A06,Company original SRC-06 + added design details,BIZ-12,"general maintenance (regular, reactive and preventive)","Intake, outsourcing, and quality review"
FR-A07,Company original SRC-06 + added design details,BIZ-21,rent to own services / or by any other programs to be inserted later on,Plan and contract editing
FR-A08,Company original SRC-06 + added design details,BIZ-21;BIZ-22,payments are not made / slow down / stop; whatsapp and/or email / credit card or debit card,Invoices and simulated payment confirmation
FR-A09,Company original SRC-06 + added design details,BIZ-21,payments are not made / slow down / stop,"Advance notice, execution confirmation, and device responses"
FR-A10,Added design details (supporting a company goal),BIZ-21,payments are not made / slow down / stop,"Grace periods, exceptions, and audit steps"
FR-A11,Company original SRC-06 + added design details,BIZ-14;BIZ-16;BIZ-17,Lower Energy Bills / auto turn off; Time-of-Use-Shift / solar and/or other battery storage; Automated Comfort / open window or uninsulated wall,Condition settings and simulation
FR-A12,Company original SRC-06 + added design details,BIZ-18;BIZ-19,How do you calculate the CO2 and air quality; ventilations control,Ventilation rules and missing data handling
FR-A13,Company original SRC-06 + added design details,BIZ-23;BIZ-25,Cut wasted run time by 10% to 20% / savings with our solution; Digital MRV / Scope 2 Emission Auditing,Baseline versions and calculation conditions
FR-A14,Company original SRC-06 + added design details,BIZ-25,Digital MRV / Scope 2 Emission Auditing,"Report fields, evidence, and previews"
FR-A15,Company original SRC-06 + added design details,BIZ-24;BIZ-26,How do you offset carbon / exchange and/or offset; Tokenized Carbon Offsets / with API to real time carbon trading platforms,Simulated retirement and market concept previews
FR-A16,Company original SRC-06 + added design details,BIZ-20,gadget to be small / firmware / stolen and/or removed,Audit filters and correlation IDs
FR-X01,Company original SRC-06 + added design details,BIZ-01;BIZ-02,Sign In / Sign Out / Forget Password; In any language text,"Four-role demo, initial en/ms, and reset wording"
FR-X02,Company original SRC-06 + added design details,BIZ-03,respond to voice ai,"Extend voice responses to temperature queries, device control, and inquiries; voice demo, text fallback, and change confirmation"
FR-X03,Company original SRC-06 + added design details,BIZ-09;BIZ-18,Signals & Notifications; How do you calculate the CO2 and air quality,"Color meanings, units, quality, and non-color cues"
FR-X04,Added design details (supporting a company goal),BIZ-04,For End Users/Clients / Technicians / Admin/HQ,"Display limits by role, assignment, period, and capability"
FR-X05,Company original SRC-06 + added design details,BIZ-05,For Split Unit Air Con (phase 1),"Shared mocks, reset, and distinction from real processing"
FR-X06,Company original SRC-06 + added design details,BIZ-05;BIZ-06;BIZ-12;BIZ-19,"For Split Unit Air Con (phase 1); For HVAC / any air con brands; general maintenance (regular, reactive and preventive); ventilations control",Model capabilities and screen enablement checks
FR-X07,Company original SRC-06 + added design details,BIZ-08;BIZ-20;BIZ-22,Purpose is to monitor every aspect; gadget to be small / firmware / stolen and/or removed; whatsapp and/or email / credit card or debit card,"Read status, related screens, and action history"
NFR-01,Added design details (quality criteria),BIZ-05,For Split Unit Air Con (phase 1),"Initial languages and quality targets are design proposals, not company-confirmed values"
NFR-02,Added design details (quality criteria),BIZ-05,For Split Unit Air Con (phase 1),"Initial languages and quality targets are design proposals, not company-confirmed values"
NFR-03,Added design details (quality criteria),BIZ-05,For Split Unit Air Con (phase 1),"Initial languages and quality targets are design proposals, not company-confirmed values"
NFR-04,Added design details (quality criteria),BIZ-05,For Split Unit Air Con (phase 1),"Initial languages and quality targets are design proposals, not company-confirmed values"
NFR-05,Added design details (quality criteria),BIZ-05,For Split Unit Air Con (phase 1),"Initial languages and quality targets are design proposals, not company-confirmed values"
NFR-06,Production instructions SRC-02 + added design details,BIZ-05,For Split Unit Air Con (phase 1),"Initial languages and quality targets are design proposals, not company-confirmed values"
NFR-07,Added design details (quality criteria),BIZ-05,For Split Unit Air Con (phase 1),"Initial languages and quality targets are design proposals, not company-confirmed values"
NFR-08,Added design details (quality criteria),BIZ-02,In any language text,"Initial languages and quality targets are design proposals, not company-confirmed values"
