company_item_id,origin,source_id,source_locator,topic,request_nature,company_request_summary,frontend_interpretation,related_requirement_ids,coverage_note
BIZ-11,Company original,SRC-06,Predictive Maintenance / Predictive diagnostics,Preventive maintenance,Request/expected benefits,"Early detection of vibration, high temperature, low refrigerant, tiny leaks, and clogged filters","Demo suspected faults, supporting data, and maintenance guidance",FR-T03;FR-T07;FR-A05,Detection of tiny leaks and similar conditions needs verification
BIZ-12,Company original,SRC-06,"general maintenance (regular, reactive and preventive)",Maintenance work,Request,"Scheduled, reactive, and preventive maintenance, including general maintenance outside RTO","View requests, work progress, and results across roles",FR-C09;FR-P01;FR-P02;FR-P03;FR-P04;FR-P05;FR-P06;FR-P07;FR-P08;FR-T08;FR-T09;FR-A06;FR-X06,"Intake, assignment, and quality review responsibilities are added design details"
BIZ-13,Company original,SRC-06,Thermostat / Remote Control,Remote control,Request/questions to consider,Check temperature with smart thermostats and change settings remotely,Separate room and set temperatures; demo change requests and responses,FR-C03;FR-T10,Detailed controls such as mode and fan speed depend on model capabilities
BIZ-14,Company original,SRC-06,Lower Energy Bills / auto turn off,Time and occupancy,Request,"Scheduling, cooling before arrival, and automatic stop when empty","Set weekdays, time slots, and occupancy conditions; simulate triggers",FR-C04;FR-C05;FR-A11,Time limits and conflict priorities are design proposals
BIZ-15,Company original,SRC-06,Dynamic Geofencing,Location-based control,Request,Reduce cooling when away and resume on return using GPS,Demo automation from away/home events,FR-C05,Location consent and withdrawal are added design details
BIZ-16,Company original,SRC-06,Time-of-Use-Shift / solar and/or other battery storage,Tariff and energy integration,Request,"Pre-cool at low rates, avoid peak rates, and connect solar/battery systems","Simulate tariff, peak, solar/battery conditions and results",FR-C06;FR-A11,Real external data and device connections are out of scope
BIZ-17,Company original,SRC-06,Automated Comfort / open window or uninsulated wall,Routines and weather,Request/examples,Adapt operation to routines and weather; notify about load from open windows or poor insulation,Define automation conditions and abnormal load guidance,FR-C05;FR-C08;FR-T07;FR-A05;FR-A11,C08/T07/A05 show open windows and poor insulation as possible causes with evidence
BIZ-18,Company original,SRC-06,How do you calculate the CO2 and air quality,Air quality,Request/questions to consider,"Monitor CO₂, dust, humidity, and allergens; advise cleaning and ventilation","Distinguish metrics, units, values, quality, and guidance",FR-C07;FR-A12;FR-X03,"C07/A12 separate allergen data availability, evidence, and not measured"
BIZ-19,Company original,SRC-06,ventilations control,Ventilation control,Request/questions to consider,Improve air quality with fresh air intake when CO₂ rises,Demo requests for supported ventilation equipment; otherwise guide the user,FR-C07;FR-A12;FR-X06,Distinguish fan circulation from fresh air intake; no health or safety guarantee
BIZ-20,Company original,SRC-06,gadget to be small / firmware / stolen and/or removed,Small IoT devices and tamper alerts,Request/questions to consider,"Small, low-cost devices inside AC units, firmware, and removal/theft protection and alerts","Demo device details, connectivity, updates, and removal detection",FR-P07;FR-T11;FR-T12;FR-A04;FR-A16;FR-X07,"Size, cost, and detection methods are unconfirmed; registration and calibration are design proposals"
BIZ-21,Company original,SRC-06,payments are not made / slow down / stop,Payments and restrictions,Request,Let administrators reduce or stop cooling for unpaid RTO and similar bills,"Demo payment states, restriction reasons, schedules, application, and release",FR-C10;FR-C12;FR-A07;FR-A08;FR-A09;FR-A10,"Notice, grace periods, exceptions, and release after payment are added design details"
BIZ-22,Company original,SRC-06,whatsapp and/or email / credit card or debit card,Payment guidance,Request,WhatsApp/email links to card payments and payment instructions,"Notification previews, demo credit/debit cards, and payment guidance",FR-C11;FR-A08;FR-X07,"C11/A08 distinguish demo credit, debit, and payment instructions"
BIZ-23,Company original,SRC-06,Cut wasted run time by 10% to 20% / savings with our solution,Energy savings,Request/expected benefits,Visualize power use and cost; compare with normal use; expect 10–20% or more waste reduction,"Show baseline, actual use, estimated cost, savings, and comparison conditions",FR-C06;FR-C13;FR-A13,"Original percentages are expectations, not guarantees or acceptance criteria"
BIZ-24,Company original,SRC-06,How do you offset carbon / exchange and/or offset,Optional offsets,Request/questions to consider,Optional use of a carbon offset/exchange platform,"Links to emissions, optional requests, and demo purchase/retirement records",FR-C13;FR-A15,"Schemes, platforms, and real transactions are unconfirmed"
BIZ-25,Company original,SRC-06,Digital MRV / Scope 2 Emission Auditing,MRV and Scope 2,Request/future concept,"Baseline comparison, measurement/reporting/verification, regional emission factors, corporate emissions reporting, and future credit creation","Preview calculation conditions, quality, evidence, and reports",FR-C13;FR-A13;FR-A14,"A14 shows Scope 2 period, organization, regional factors, and calculation boundary"
BIZ-26,Company original,SRC-06,Tokenized Carbon Offsets / with API to real time carbon trading platforms,Carbon trading expansion,Future concept,"Tokenize savings, distributed ledgers, micro-offsets, trading, and real-time carbon market APIs","Keep as a future concept, separate from current demo offset records",FR-C13;FR-A15,C13/A15 propose showing future integration concepts; real trading and connection methods are out of scope
