case_id,issue_id,requirement_ids,given,when,then,contract,decision_status,execution_status
AT-REV18-011,REV18-011,FR-X01;NFR-01,customer-a signed in; expiresAt=now+30min,Advance to expiresAt-120s→extend→new expiresAt-120s→let expire,"Dialog role=alertdialog with initial focus Extend. Extension sets expiresAt=now+30min; generation/viewEpoch unchanged; zero business audits. If ignored, expiry navigates to /login with draft-discard notice",02-design/review-resolution-contracts.md#ir55-session-expiry-warning-and-extension--rev18-011,proposed,not_run
AT-REV18-012,REV18-012,FR-C09;FR-A06,Jobs in requested/offered/accepted/assigned/in_progress/submitted/on_hold/rework_requested/completed/cancelled,Client and HQ call jobs.cancel with reason; contractor/technician also call,"HQ succeeds from requested through assigned, on_hold, rework_requested; in_progress/submitted/completed/cancelled give CONFLICT. Client succeeds only from requested; otherwise CONFLICT. Contractor/technician FORBIDDEN. Accept after offered cancellation gives CONFLICT",02-design/review-resolution-contracts.md#ir56-states-allowing-job-cancellation--rev18-012,proposed,not_run
AT-REV18-013,REV18-013,FR-X04;NFR-05,tech-external-a job before work window; customer-a unit-limited control form with temperature_limit24 applied,①Technician opens /technician/units/unit-online-rto?jobId=… ②Customer enters23 and calls commands.create ③Customer directly opens /admin ④Customer opens /customer/units/unit-unknown,"①Keep URL, show work-not-started with start time/job link (IR76). ②FORBIDDEN keeps screen/input23, error summary/correlation ID; refetch units.get. ③Replace route with /forbidden. ④Keep URL, show not-found and parent-list link",02-design/review-resolution-contracts.md#ir57-forbiddennot_found-display-and-navigation--rev18-013,specified,not_run
AT-REV18-014,REV18-014,FR-X07;FR-C08,Two customer-a notifications for unit-online-rto and unit-non-rto,"Patch customer-a scopes to[{kind:unit,id:unit-online-rto}]→refetch list→open link from previously displayed old row","New items=1/total=1/unread=1; old link says ""Unavailable"" without target name. Restoring scope returns two notifications",02-design/review-resolution-contracts.md#ir58-notification-list-visibility--rev18-014,specified,not_run
AT-REV18-015,REV18-015,FR-C11;FR-A08;FR-X05,invoice-overdue-a unpaid; customer-a payment attempt processing,Send payment DemoTrigger from /demo→payments.simulate(confirm)→demo.trigger(command_ack) acknowledges release,"Payment DemoTrigger gives VALIDATION (unknown eventType); confirm makes paid. Ack audit actorId=system-demo/actorRoleAtTime=system; UI label ""System (demo)""",02-design/review-resolution-contracts.md#ir59-one-payment-finalization-path-and-system-actors--rev18-015,specified,not_run
AT-REV18-016,REV18-016,NFR-06;FR-X05,operation-catalog.csv,Count frontend_execution values,"Eleven demo-only operations: demo.advanceClock/reset/trigger, demoSession.signIn/signOut/switchMembership/extend, auth.previewPasswordReset, payments.simulate, offsets.simulate, automations.fire. Corresponding UI areas show DEMO; D11 artifacts identify replacements",02-design/review-resolution-contracts.md#ir60-identify-demo-only-operations--rev18-016,specified,not_run
AT-REV18-017,REV18-017,FR-C10,customer-a with one rto and one general contract; customer-b with zero contracts,Each customer opens /customer/payments,"Customer-a sees both types/periods/invoices, no ""No contract"" message. Only customer-b sees ""No contract — general maintenance"" and monitoring link",02-design/review-resolution-contracts.md#ir61-non-rto-contract-display--rev18-017,specified,not_run
AT-REV18-018,REV18-018,FR-C02;FR-A02,unit-limited in property-office-a with spaceId=null,"units.save(spaceId=null), units.list(unassignedOnly=true), combine spaceId/unassignedOnly, open /customer/properties",Null save succeeds; unassignedOnly=true returns only unit-limited/total1; combined filters give VALIDATION. Property tree has unassigned-space group with one unit,02-design/review-resolution-contracts.md#ir62-equipment-without-a-space-assignment--rev18-018,specified,not_run
AT-REV18-019,REV18-019,FR-A01;FR-A13,/admin?customerId=cust-a; no baseline matching cust-a's four units→save demo_fixed baseline with matching unitIds/boundary,Fetch admin.summary twice,"First: energyForecast.baselineRef=null, qualityWarnings includes baseline_unavailable, ""Baseline not set"", energySummary savings null. Second: matching demo_fixed baseline makes energyForecast return forecast using prorated latest version (IR78). No /admin/energy link for dashboard.read-only user",02-design/review-resolution-contracts.md#ir63-admin-dashboard-energy-saving-summary--rev18-019,proposed,not_run
AT-REV18-020,REV18-020,FR-C09;FR-X04,customer-a maintenance request form,"Submit contactWindow=""call 012-345-6789"", ""a@b.c"", ""Weekdays after 18:00""; read jobs.get as each role",First two give VALIDATION(errors.contact_details_forbidden); third succeeds. client/HQ/assigned technician within viewing window/accepted contractor get contactWindow; unaccepted offer/history/notification params do not,02-design/review-resolution-contracts.md#ir64-contact-window-input-and-visibility--rev18-020,proposed,not_run
AT-REV18-021,REV18-021,FR-X02,room-1 has unit-online-rto; same-name Space Bedroom in out-of-scope property-home-b; room-2 has two units,"Enter ""set Bedroom to 24 degrees"", ""set living room to 24 degrees"", ""temperature Bedroom AC""",First gives change for one in-scope unit; second gives two candidates with pathLabel; third unsupported because Unit display names are not matched. selectedUnitId outside candidates gives NOT_FOUND,02-design/review-resolution-contracts.md#ir65-voice-target-matching-and-syntax--rev18-021,proposed,not_run
AT-REV18-022,REV18-022,FR-T07;FR-A05,Open alert-window-a with policyId=null and Alert from policy-temp-a,Supply recovery values to both for 60s→retrigger policy condition→create policy-free Alert with same type/causeCode,"Policy-free Alert never auto-resolves (manual resolve only). Policy Alert resolves, then recurrence creates new alertId with previousAlertId. Same key while open creates no new Alert",02-design/review-resolution-contracts.md#ir66-resolve-policy-free-alerts-and-link-recurrences--rev18-022,specified,not_run
AT-REV18-023,REV18-023,FR-T11;FR-A04,Online device-online-rto; assigned technician with device.maintain,devices.check→same-time demo.trigger(operation succeeded)→clock+1s→succeeded. Separately communication_lost within 1s after updateFirmware creation,Result while queued gives CONFLICT. After 1s running/connecting; succeeded makes online. Firmware recheck at 1s gives failed/OFFLINE with unchanged version; at 60s from creation failed/TIMEOUT,02-design/review-resolution-contracts.md#ir67-device-operation-start-and-connection-check-states--rev18-023,specified,not_run
AT-REV18-024,REV18-024,FR-C06;FR-A13,"acceptancePatches AT-C06-E.3: unit-online-rto/unit-non-rto, baseline100kWh/actual120kWh, modeled",Display C06/A13,"DTO savedKWh=-20/savingPercentage=-20. Both show ""Increase 20.0 kWh"" and ""Increase 20.0%"". Zero: ""No change 0.0""; null: ""Cannot calculate""",02-design/review-resolution-contracts.md#ir68-display-negative-savings--rev18-024,proposed,not_run
AT-REV18-025,REV18-025,FR-A06,"job.manage, reactive job",offer→accept→assign→start→submit→accept,requested→offered→accepted→assigned→in_progress→submitted→completed,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-026,REV18-026,FR-X05;NFR-07,demoSeed and patches,"createDemoRepository(seed:'demoSeed', patches=[{entity:'customers',id:'cust-b',set:{status:'inactive'}}]); invalid patch with unknown field",Reproduce seed counts:6 units/1alert/1invoice/1restriction/2jobs. Apply valid patch; invalid patch throws during creation. UI cannot pass patches,02-design/review-resolution-contracts.md#ir69-demo-seed-and-test-fixture-overrides--rev18-026,specified,not_run
AT-REV18-027,REV18-027,FR-P06,Two contractor-a technicians;4h assigned,"members.capacity for 2026-09-15 Tuesday,2026-09-16 Wednesday holiday,2026-09-19 Saturday","Tuesday with 4h assigned:availableMinutes480/utilization50.0; Wednesday480 (no holiday handling); Saturday no work interval, availableMinutes=null/utilization=null",02-design/review-resolution-contracts.md#ir70-nonworking-days-for-capacity--rev18-027,proposed,not_run
AT-REV18-028,REV18-028,NFR-06;FR-X03,events.subscribe,"Subscribe with resources=[], ['jobs'], ['job','alert']; emit alert event","Empty/unknown values give VALIDATION. Valid subscription invalidates only alerts.list/get, units.list/get, jobs.list/get, summaries.get, admin.summary on alert event",02-design/review-resolution-contracts.md#ir71-change-event-types-and-query-invalidation--rev18-028,specified,not_run
AT-REV18-029,REV18-029,NFR-07,validate_documents.py,"Restore obsolete wording, such as jobs/units/invoices/restrictions or no user-initiated extension",Static validation returns an error; README/IR72 contain precedence table,02-design/review-resolution-contracts.md#ir72-specification-priority--rev18-029,specified,not_run
AT-REV18-030,REV18-030,NFR-07,check_review_regressions.py,Run against current baseline,"All mutations detected, passed=true; gate evidence_paths includes validator-negative-checks.json",02-design/review-resolution-contracts.md#ir73-validator-mutation-tests--rev18-030,specified,not_run
AT-REV18-031,REV18-031,FR-C01,DD-C01,Read summary field,"Lists powerOn/powerOff/powerUnknown/alertCount/asOf, matching SR27/IR51",02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-032,REV18-032,FR-C08;FR-T01,Select severity=all in C08/T01,Observe notifications.list/jobs.list input,Omit filters.severity; no VALIDATION,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-033,REV18-033,FR-A03,members.save,Omit validFrom; internal technician validUntil=null; external technician validUntil=null,Missing validFrom and external null give VALIDATION; internal null succeeds,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-034,REV18-034,NFR-02,D10 supported environments,Check iPadOS17 Safari at 768/1024width,Environment list includes iPadOS17 Safari; navigation uses drawer below xl,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-035,REV18-035,NFR-08,Acceptance timestamps without Z/offset,Interpret AT-C09-N requested slot,Input as Asia/Kuala_Lumpur10:00–12:00 (02:00Z–04:00Z),02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-036,REV18-036,FR-C03,customer-a,Send commands.create with reason='x'; omit reason as technician,Client gives VALIDATION (must not send reason); technician also VALIDATION (reason required),02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-037,REV18-037,NFR-04,Default mock,Measure normal units.list response; inject clock for unit test,Fixed normal delay300ms; unit test0ms,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-038,REV18-038,FR-A01;FR-A13;FR-P01;FR-T01,A01 today; P01 from=2026-09-14/to=2026-09-14,Observe input,"A01 uses SR17 today interval; P01 uses[2026-09-13T16:00Z,2026-09-14T16:00Z)",02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-039,REV18-039,FR-T03,After measurement sequence3,Send sequence2 and duplicate3,Values do not roll back; duplicate ignored; do not use Measurement.version as input,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-040,REV18-040,FR-T12,device-tamper,Send communication_lost/power_lost/tamper,Store DeviceEvent.evidenceSource as heartbeat/power_signal/tamper_signal; cannot supply as input,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-041,REV18-041,FR-C02;FR-A02,property-home-a,Create floor under floor and area under room,Both succeed; validate only same property and no cycles,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-042,REV18-042,FR-A02,units.save,Include tenantId input,VALIDATION for unknown field; derive tenantId from Session,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-043,REV18-043,FR-A04;FR-A12,HQ with device.manage only; HQ with automation.policy.manage only,Save model on A04 and air policy on A12,Each succeeds at own operation; other operation gives FORBIDDEN,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-044,REV18-044,NFR-03,Confirmation dialog open,Another operation updates target version→confirm,Refetch and repeat confirmation without submitting,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-045,REV18-045,FR-X05,PrepareDocument §1.3,Read1A/1B/Phase2,All three stages explicitly defined,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-046,REV18-046,NFR-05,screen-catalog.csv,Compare SCR-C10/SCR-C03 states,No connecting/device-* on SCR-C10; present on SCR-C03,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,specified,not_run
AT-REV18-047,REV18-047,NFR-08;FR-X01,i18n/ms,Check key set and unverified flags,Key set matches en; list flagged text for review before company acceptance,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,proposed,not_run
AT-REV18-048,REV18-048,FR-X01,AppShell,Display app name in header,Translation key app.name (AC Monitoring Demo / Demo Pemantauan AC); no reference-site name/logo,02-design/review-resolution-contracts.md#ir74-minor-clarifications--rev18-025-and-rev18-031048,proposed,not_run
