operation,allowed_filters,allowed_sort,default_sort,enum_source,cursor,filter_mapping,sort_mapping
mrv.list,"unitId,from,to,status","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"unitId => conditions.unitIds contains; status => status; from/to => [from,to) on conditions.from","Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
notifications.list,"unreadOnly,severity,from,to","id,createdAt,updatedAt,severity,occurredAt",severity desc;occurredAt desc;id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"unreadOnly => true => readAt=null; false => no read filter; severity => severity; from/to => [from,to) on occurredAt","severity asc=normal,warning,critical; desc reverses this; other keys use matching DTO fields"
notifications.recipients,,id,id asc,Role comes from input.role; filters not allowed,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,none,id=Membership.id
offsets.list,"customerId,status,from,to","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"customerId => OffsetQuote.customerId via quoteId; status => state; from/to => [from,to) on createdAt","Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
organizations.list,"kind,status","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,kind => kind; status => status,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
plans.list,unitId,"id,createdAt,updatedAt",id asc,Exact unitId match,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,unitId => unitId,Matching DTO fields
policies.list,"unitId,kind,enabled","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,unitId => unitIds contains; kind => kind; enabled => enabled,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
properties.list,"customerId,kind","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,customerId => Customer.organizationId = Property.customerOrgId; kind => kind,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
restrictions.forInvoice,"invoiceId,contractId,status","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,invoiceId => causeInvoiceIds contains AND input.invoiceId; contractId => contractId; status => state,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
restrictions.list,"invoiceId,contractId,status","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,invoiceId => causeInvoiceIds contains; contractId => contractId; status => state; IR03 override-only: status only; invoiceId/contractId forbidden before filtering,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
spaces.list,"propertyId,kind","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,propertyId => propertyId; kind => kind,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
summaries.get,"customerId,propertyId,unitId,unitIds,from,to,status,statuses,severity,overdueOnly",,not_applicable,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,"customerId => customerId; propertyId => propertyId; unitId => unitId; unitIds => unitIds; from/to => [from,to) on D14: jobs requestedSlot.startAt; energy slot; assets snapshot; IR26: partner/technician job filters use IR23 projection; customer rejects job filters","Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
telemetry.series,,observedAt,observedAt asc;sensorId asc;id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,none,"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
units.list,"customerId,propertyId,status,spaceId,includeDescendants,connections,powerState,unitIds,organizationId,unassignedOnly","id,createdAt,updatedAt",id asc,Referenced model enum from filter_mapping. from/to is a half-open interval. D12/D15,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,customerId => Customer.organizationId = ACUnit.customerOrgId; propertyId => propertyId; status => connection; SR06 derived filter definitions; unitIds => id in unitIds (empty array returns zero); organizationId => ACUnit.customerOrgId; powerState => SR27 effectivePowerState (not observedState.power); unassignedOnly => true => spaceId=null (combined with spaceId is VALIDATION); false => no filter (IR62),"Matching DTO fields. Capacity.id=membershipId, JobOffer.id=jobId."
devices.calibrations,,"id,createdAt",createdAt asc;id asc,SR08/SR09,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,none,Matching DTO fields
devices.operations,,"id,createdAt",createdAt asc;id asc,SR08/SR09,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,none,Matching DTO fields
diagnosticRuns.list,,"id,createdAt",createdAt asc;id asc,SR08/SR09,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,none,Matching DTO fields
mrv.versions,,version,version asc,SR08/SR09,SR14: generation/scope/query/snapshotVersion/offset; immutable until reset,none,version asc/desc; version is unique within the same reportId
