Requirement ID,Requirement,Prepare,Detailed Design,UI/UX,API,Error Handling,Testable,Status
FR-P02,受諾・辞退の手順,Prepare BIZ-12,02-design/contractor.md DD-P02,SCR-P02,jobs.accept;jobs.decline;jobs.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-P02-N;AT-P02-E;AT-P02-B; ,OK
FR-P03,自社担当割当と資格確認,Prepare BIZ-12,02-design/contractor.md DD-P03,SCR-P03,jobs.assign;jobs.list;members.eligible,D01/D04/D10/DDC-03; 各DD境界条件,DEC-18 accepted / IR34; AT-P03-N;AT-P03-E;AT-P03-B;AT-P03-R01; AT-REV16-002;AT-REV16-005,OK
FR-P04,対象設備・異常根拠の限定閲覧,Prepare BIZ-12,02-design/contractor.md DD-P04,SCR-P04,alerts.list;telemetry.summary;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-P04-N;AT-P04-E;AT-P04-B; ,OK
FR-P05,報告の品質確認・差戻し,Prepare BIZ-12,02-design/contractor.md DD-P05,SCR-P05,attachments.getContent;jobs.get;jobs.review;reports.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-P05-N;AT-P05-E;AT-P05-B;AT-P05-R01; ,OK
FR-P06,自社作業者・資格・稼働の閲覧,Prepare BIZ-12,02-design/contractor.md DD-P06,SCR-P06,jobs.list;members.capacity;members.list,D01/D04/D10/DDC-03; 各DD境界条件,DEC-18 accepted / IR34; AT-P06-N;AT-P06-E;AT-P06-B; AT-REV16-002;AT-REV16-005,OK
FR-P07,案件連絡・異常の共有,Prepare BIZ-12;BIZ-20,02-design/contractor.md DD-P07,SCR-P07,jobs.addNote;jobs.events;notifications.preview;notifications.recipients,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-P07-N;AT-P07-E;AT-P07-B;AT-P07-R01; ,OK
FR-P08,委託先・担当期間に基づくアクセス制限,Prepare BIZ-12,02-design/contractor.md DD-P08,SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07,jobs.get;session.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-P08-N;AT-P08-E;AT-P08-B; ,OK
FR-T01,担当期間による表示範囲,Prepare BIZ-04;BIZ-08,02-design/technician.md DD-T01,SCR-T01,alerts.list;jobs.list;summaries.get,D01/D04/D10/DDC-03; 各DD境界条件,DEC-18 accepted / IR34; AT-T01-N;AT-T01-E;AT-T01-B; AT-REV16-002;AT-REV16-005,OK
FR-T02,設備台帳の項目と閲覧手順,Prepare BIZ-06;BIZ-07;BIZ-10,02-design/technician.md DD-T02,SCR-T02,devices.list;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T02-N;AT-T02-E;AT-T02-B; ,OK
FR-T03,系列選択と品質表示,Prepare BIZ-08;BIZ-11,02-design/technician.md DD-T03,SCR-T02,telemetry.series;telemetry.summary,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T03-N;AT-T03-E;AT-T03-B; ,OK
FR-T04,点検フォーム・未点検理由,Prepare BIZ-10,02-design/technician.md DD-T04,SCR-T04,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T04-N;AT-T04-E;AT-T04-B; ,OK
FR-T05,点検フォーム・未点検理由,Prepare BIZ-10,02-design/technician.md DD-T05,SCR-T04,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T05-N;AT-T05-E;AT-T05-B; ,OK
FR-T06,点検フォーム・未点検理由,Prepare BIZ-10,02-design/technician.md DD-T06,SCR-T04,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T06-N;AT-T06-E;AT-T06-B; ,OK
FR-T07,原因候補と根拠・解消手順,Prepare BIZ-08;BIZ-11;BIZ-17,02-design/technician.md DD-T07,SCR-T07,alerts.acknowledge;alerts.get;alerts.list;alerts.resolve,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T07-N;AT-T07-E;AT-T07-B; ,OK
FR-T08,開始・提出・再提出の状態,Prepare BIZ-12,02-design/technician.md DD-T08,SCR-T04,jobs.get;jobs.resumeRework;jobs.start;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T08-N;AT-T08-E;AT-T08-B; ,OK
FR-T09,写真・交換部品・報告版の管理,Prepare BIZ-12,02-design/technician.md DD-T09,SCR-T04,attachments.add;attachments.getContent;jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T09-N;AT-T09-E;AT-T09-B; ,OK
FR-T10,技術者の操作権限と試運転手順,Prepare BIZ-13,02-design/technician.md DD-T10,SCR-T10,commands.create;commands.get;diagnosticRuns.create;diagnosticRuns.get;diagnosticRuns.list;jobs.get;units.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T10-N;AT-T10-E;AT-T10-B;AT-T10-R01; ,OK
FR-T11,登録・校正・更新の模擬手順,Prepare BIZ-20,02-design/technician.md DD-T11,SCR-T11,devices.bind;devices.calibrate;devices.calibrations;devices.check;devices.get;devices.list;devices.operations;devices.register;devices.updateFirmware;jobs.list;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T11-N;AT-T11-E;AT-T11-B;AT-T11-R01; ,OK
FR-T12,通信断・電源断と取り外しの区別,Prepare BIZ-20,02-design/technician.md DD-T12,SCR-T12,alerts.acknowledge;alerts.get;devices.addResponseNote;devices.events;devices.get,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-T12-N;AT-T12-E;AT-T12-B; ,OK
FR-A01,全体集計・担当導線,Prepare BIZ-04;BIZ-08,02-design/admin.md DD-A01,SCR-A01,admin.summary,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A01-N;AT-A01-E;AT-A01-B; ,OK
FR-A02,登録・編集・アーカイブ,Prepare BIZ-07,02-design/admin.md DD-A02,SCR-A02,capabilities.list;commands.create;commands.get;customers.list;customers.save;diagnosticRuns.get;diagnosticRuns.list;organizations.list;organizations.save;properties.list;properties.save;spaces.list;spaces.save;units.archive;units.delete;units.get;units.list;units.save,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A02-N;AT-A02-E;AT-A02-B; ,OK
FR-A03,権限・所属・担当期間の管理,Prepare BIZ-04,02-design/admin.md DD-A03,SCR-A03,members.list;members.save;organizations.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A03-N;AT-A03-E;AT-A03-B; ,OK
FR-A04,機種能力・IoT台帳の編集,Prepare BIZ-06;BIZ-20,02-design/admin.md DD-A04,SCR-A04,capabilities.list;capabilities.save;devices.bind;devices.calibrate;devices.calibrations;devices.check;devices.get;devices.list;devices.operations;devices.register;devices.updateFirmware;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A04-N;AT-A04-E;AT-A04-B; ,OK
FR-A05,しきい値の設定と異常処理,Prepare BIZ-08;BIZ-11;BIZ-17,02-design/admin.md DD-A05,SCR-A05,alerts.acknowledge;alerts.get;alerts.list;alerts.resolve;notifications.preview;notifications.recipients;policies.get;policies.list;policies.save;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A05-N;AT-A05-E;AT-A05-B; ,OK
FR-A06,受付・委託・品質確認,Prepare BIZ-12,02-design/admin.md DD-A06,SCR-A06,attachments.getContent;jobs.assign;jobs.cancel;jobs.create;jobs.extendAccess;jobs.get;jobs.hold;jobs.list;jobs.offer;jobs.resumeHold;jobs.review;jobs.saveCost;members.eligible;organizations.list;plans.generateNext;plans.get;plans.list;plans.save;reports.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,DEC-18 accepted / IR34; AT-A06-N;AT-A06-E;AT-A06-B; AT-REV16-005,OK
FR-A07,プラン・契約編集,Prepare BIZ-21,02-design/admin.md DD-A07,SCR-A07,contracts.list;contracts.save;customers.list;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A07-N;AT-A07-E;AT-A07-B; ,OK
FR-A08,請求・模擬入金確認,Prepare BIZ-21;BIZ-22,02-design/admin.md DD-A08,SCR-A08,contracts.list;inquiries.answer;inquiries.list;invoices.create;invoices.get;invoices.list;notifications.preview;notifications.recipients;payments.confirm;payments.recordManual;invoices.remind,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A08-N;AT-A08-E;AT-A08-B;AT-A08-R01; ,OK
FR-A09,予告・実行確認・機器応答,Prepare BIZ-21,02-design/admin.md DD-A09,SCR-A09,commands.get;contracts.list;invoices.list;restrictions.execute;restrictions.get;restrictions.list;restrictions.reconcile;restrictions.release;restrictions.retry;restrictions.schedule;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A09-N;AT-A09-E;AT-A09-B;AT-A09-R01; ,OK
FR-A10,猶予・例外・監査手順,Prepare BIZ-21,02-design/admin.md DD-A10,SCR-A10,audit.list;restrictions.cancel;restrictions.defer;restrictions.exempt;restrictions.get;restrictions.list;restrictions.override;restrictions.reconcile;restrictions.retry,D01/D04/D10/DDC-03; 各DD境界条件,DEC-17 accepted / IR34; AT-A10-N;AT-A10-E;AT-A10-B; AT-REV16-001,OK
FR-A11,条件設定とシミュレーション,Prepare BIZ-14;BIZ-16;BIZ-17,02-design/admin.md DD-A11,SCR-A11,automations.fire;automations.simulate;policies.get;policies.list;policies.save;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A11-N;AT-A11-E;AT-A11-B;AT-A11-R01; ,OK
FR-A12,換気ルール・欠測の扱い,Prepare BIZ-18;BIZ-19,02-design/admin.md DD-A12,SCR-A12,automations.fire;automations.simulate;commands.create;commands.get;notifications.recipients;policies.get;policies.list;policies.save;telemetry.series;units.get;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A12-N;AT-A12-E;AT-A12-B; ,OK
FR-A13,基準版・算定条件の管理,Prepare BIZ-23;BIZ-25,02-design/admin.md DD-A13,SCR-A13,baselines.list;baselines.save;energy.summary;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A13-N;AT-A13-E;AT-A13-B; ,OK
FR-A14,レポート項目・証跡・プレビュー,Prepare BIZ-25,02-design/admin.md DD-A14,SCR-A14,baselines.list;factors.list;factors.save;mrv.get;mrv.list;mrv.preview;mrv.recordReview;mrv.saveDraft;mrv.versions;organizations.list;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A14-N;AT-A14-E;AT-A14-B;AT-A14-R01; ,OK
FR-A15,模擬償却・市場構想のプレビュー,Prepare BIZ-24;BIZ-26,02-design/admin.md DD-A15,SCR-A15,customers.list;offsets.list;offsets.preview;offsets.simulate;units.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A15-N;AT-A15-E;AT-A15-B; ,OK
FR-A16,監査フィルター・相関ID,Prepare BIZ-20,02-design/admin.md DD-A16,SCR-A16,audit.list;commands.get;devices.events;devices.list,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-A16-N;AT-A16-E;AT-A16-B; AT-REV16-003;AT-REV16-004,OK
FR-X01,4役割デモ・初期en/ms・再設定文言,Prepare BIZ-01;BIZ-02,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-X01; ,OK
FR-X02,音声応答から温度照会・機器操作・問い合わせへの展開、音声デモとテキスト代替・変更確認,Prepare BIZ-03,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-X02; ,OK
FR-X03,色の意味・単位・品質・非色表現,Prepare BIZ-09;BIZ-18,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-X03; ,OK
FR-X04,役割・担当・期間・能力の表示制限,Prepare BIZ-04,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-X04; AT-REV16-001;AT-REV16-004,OK
FR-X05,共有モック・リセット・実処理の区別,Prepare BIZ-05,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-X05; ,OK
FR-X06,機種能力と画面有効判定,Prepare BIZ-05;BIZ-06;BIZ-12;BIZ-19,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-X06; ,OK
FR-X07,既読・関連画面・操作履歴,Prepare BIZ-08;BIZ-20;BIZ-22,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-X07; ,OK
NFR-01,初期言語・品質目標は設計提案であり企業の確定値ではない,Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-NFR01; ,OK
NFR-02,初期言語・品質目標は設計提案であり企業の確定値ではない,Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-NFR02; ,OK
NFR-03,初期言語・品質目標は設計提案であり企業の確定値ではない,Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-NFR03; AT-REV16-004,OK
NFR-04,初期言語・品質目標は設計提案であり企業の確定値ではない,Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,共通Repository/非機能（実HTTPは対象外）,D01/D04/D10/DDC-03; 各DD境界条件,文書上定義あり／アプリ未実行; AT-NFR04; ,OK
