Requirement ID,Requirement,Prepare,Detailed Design,UI/UX,API,Error Handling,Testable,Status
FR-A10,猶予・例外・監査手順,00-prepare/PrepareDocument.md BIZ-21,02-design/admin.md DD-A10,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,audit.list;restrictions.cancel;restrictions.defer;restrictions.exempt;restrictions.get;restrictions.list;restrictions.override;restrictions.reconcile;restrictions.retry,D01/D04/D10、各DDの異常系,AT-A10-N;AT-A10-E;AT-A10-B;,OK
FR-A11,条件設定とシミュレーション,00-prepare/PrepareDocument.md BIZ-14;BIZ-16;BIZ-17,02-design/admin.md DD-A11,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,automations.fire;automations.simulate;policies.get;policies.list;policies.save;units.get;units.list,D01/D04/D10、各DDの異常系,AT-A11-N;AT-A11-E;AT-A11-B;AT-A11-R01;,OK
FR-A12,換気ルール・欠測の扱い,00-prepare/PrepareDocument.md BIZ-18;BIZ-19,02-design/admin.md DD-A12,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,automations.fire;automations.simulate;commands.create;commands.get;notifications.recipients;policies.get;policies.list;policies.save;telemetry.series;units.get;units.list,D01/D04/D10、各DDの異常系,AT-A12-N;AT-A12-E;AT-A12-B;,OK
FR-A13,基準版・算定条件の管理,00-prepare/PrepareDocument.md BIZ-23;BIZ-25,02-design/admin.md DD-A13,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,baselines.list;baselines.save;energy.summary;units.list,D01/D04/D10、各DDの異常系,AT-A13-N;AT-A13-E;AT-A13-B;,OK
FR-A14,レポート項目・証跡・プレビュー,00-prepare/PrepareDocument.md BIZ-25,02-design/admin.md DD-A14,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,baselines.list;factors.list;factors.save;mrv.get;mrv.list;mrv.preview;mrv.recordReview;mrv.saveDraft;mrv.versions;organizations.list;units.list,D01/D04/D10、各DDの異常系,AT-A14-N;AT-A14-E;AT-A14-B;AT-A14-R01;,OK
FR-A15,模擬償却・市場構想のプレビュー,00-prepare/PrepareDocument.md BIZ-24;BIZ-26,02-design/admin.md DD-A15,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,customers.list;offsets.list;offsets.preview;offsets.simulate;units.list,D01/D04/D10、各DDの異常系,AT-A15-N;AT-A15-E;AT-A15-B;,OK
FR-A16,監査フィルター・相関ID,00-prepare/PrepareDocument.md BIZ-20,02-design/admin.md DD-A16,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,audit.list;devices.events,D01/D04/D10、各DDの異常系,AT-A16-N;AT-A16-E;AT-A16-B;,OK
FR-X01,4役割デモ・初期en/ms・再設定文言,00-prepare/PrepareDocument.md BIZ-01;BIZ-02,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-X01;,OK
FR-X02,音声応答から温度照会・機器操作・問い合わせへの展開、音声デモとテキスト代替・変更確認,00-prepare/PrepareDocument.md BIZ-03,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-X02;,OK
FR-X03,色の意味・単位・品質・非色表現,00-prepare/PrepareDocument.md BIZ-09;BIZ-18,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-X03;,OK
FR-X04,役割・担当・期間・能力の表示制限,00-prepare/PrepareDocument.md BIZ-04,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-X04;AT-LOOP-001;AT-LOOP-002;AT-G1-002;AT-G1-006,OK
FR-X05,共有モック・リセット・実処理の区別,00-prepare/PrepareDocument.md BIZ-05,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-X05;,OK
FR-X06,機種能力と画面有効判定,00-prepare/PrepareDocument.md BIZ-05;BIZ-06;BIZ-12;BIZ-19,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-X06;AT-LOOP-004,OK
FR-X07,既読・関連画面・操作履歴,00-prepare/PrepareDocument.md BIZ-08;BIZ-20;BIZ-22,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-X07;,OK
NFR-01,初期言語・品質目標は設計提案であり企業の確定値ではない,00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-NFR01;,OK
NFR-02,初期言語・品質目標は設計提案であり企業の確定値ではない,00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-NFR02;,OK
NFR-03,初期言語・品質目標は設計提案であり企業の確定値ではない,00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-NFR03;,OK
NFR-04,初期言語・品質目標は設計提案であり企業の確定値ではない,00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-NFR04;,OK
NFR-05,初期言語・品質目標は設計提案であり企業の確定値ではない,00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-NFR05;,OK
NFR-06,初期言語・品質目標は設計提案であり企業の確定値ではない,00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-NFR06;,OK
NFR-07,初期言語・品質目標は設計提案であり企業の確定値ではない,00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-NFR07;AT-G1-003,OK
NFR-08,初期言語・品質目標は設計提案であり企業の確定値ではない,00-prepare/PrepareDocument.md BIZ-02,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,共通契約: operation-catalog.csv（HTTP対象外）,D01/D04/D10、各DDの異常系,AT-NFR08;,OK
