Requirement ID,Requirement,Prepare,Detailed Design,UI/UX,API,Error Handling,Testable,Status
FR-C11,Payment status and notification preview,00-prepare/PrepareDocument.md BIZ-22,02-design/client.md DD-C11,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,invoices.get;notifications.preview;notifications.recipients;payments.simulate,D01/D04/D10; error cases in each DD,AT-C11-N;AT-C11-E;AT-C11-B;,OK
FR-C12,"Advance notice, grace periods, and pending release",00-prepare/PrepareDocument.md BIZ-21,02-design/client.md DD-C12,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.get;inquiries.create;inquiries.list;restrictions.forInvoice,D01/D04/D10; error cases in each DD,AT-C12-N;AT-C12-E;AT-C12-B;AT-C12-R01;,OK
FR-C13,"Display simulated applications, retirement status, and the market concept",00-prepare/PrepareDocument.md BIZ-23;BIZ-24;BIZ-25;BIZ-26,02-design/client.md DD-C13,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,energy.summary;offsets.list;offsets.preview;offsets.simulate;units.list,D01/D04/D10; error cases in each DD,AT-C13-N;AT-C13-E;AT-C13-B;,OK
FR-P01,Contracted jobs dashboard,00-prepare/PrepareDocument.md BIZ-04;BIZ-12,02-design/contractor.md DD-P01,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.list;summaries.get,D01/D04/D10; error cases in each DD,AT-P01-N;AT-P01-E;AT-P01-B;AT-LOOP-001;AT-LOOP-002;AT-LOOP-003,OK
FR-P02,Acceptance and decline procedure,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P02,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.accept;jobs.decline;jobs.get,D01/D04/D10; error cases in each DD,AT-P02-N;AT-P02-E;AT-P02-B;AT-LOOP-001,OK
FR-P03,Assign company staff and check qualifications,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P03,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.assign;jobs.list;members.eligible,D01/D04/D10; error cases in each DD,AT-P03-N;AT-P03-E;AT-P03-B;AT-P03-R01;,OK
FR-P04,Limited access to target equipment and alert evidence,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P04,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.list;telemetry.summary;units.get,D01/D04/D10; error cases in each DD,AT-P04-N;AT-P04-E;AT-P04-B;,OK
FR-P05,Report quality review and return for correction,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P05,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,attachments.getContent;jobs.get;jobs.review;reports.get,D01/D04/D10; error cases in each DD,AT-P05-N;AT-P05-E;AT-P05-B;AT-P05-R01;,OK
FR-P06,"View company workers, qualifications, and availability",00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P06,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.list;members.capacity;members.list,D01/D04/D10; error cases in each DD,AT-P06-N;AT-P06-E;AT-P06-B;,OK
FR-P07,Job communication and alert sharing,00-prepare/PrepareDocument.md BIZ-12;BIZ-20,02-design/contractor.md DD-P07,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.addNote;jobs.events;notifications.preview;notifications.recipients,D01/D04/D10; error cases in each DD,AT-P07-N;AT-P07-E;AT-P07-B;AT-P07-R01;,OK
FR-P08,Access limits based on contractor and assignment period,00-prepare/PrepareDocument.md BIZ-12,02-design/contractor.md DD-P08,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;session.get,D01/D04/D10; error cases in each DD,AT-P08-N;AT-P08-E;AT-P08-B;AT-LOOP-002,OK
FR-T01,Display scope based on assignment period,00-prepare/PrepareDocument.md BIZ-04;BIZ-08,02-design/technician.md DD-T01,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.list;jobs.list;summaries.get,D01/D04/D10; error cases in each DD,AT-T01-N;AT-T01-E;AT-T01-B;AT-LOOP-002;AT-LOOP-003,OK
FR-T02,Equipment register fields and viewing procedure,00-prepare/PrepareDocument.md BIZ-06;BIZ-07;BIZ-10,02-design/technician.md DD-T02,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,devices.list;units.get,D01/D04/D10; error cases in each DD,AT-T02-N;AT-T02-E;AT-T02-B;,OK
FR-T03,Series selection and quality display,00-prepare/PrepareDocument.md BIZ-08;BIZ-11,02-design/technician.md DD-T03,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,telemetry.series;telemetry.summary,D01/D04/D10; error cases in each DD,AT-T03-N;AT-T03-E;AT-T03-B;,OK
FR-T04,Inspection forms and reasons for skipped inspections,00-prepare/PrepareDocument.md BIZ-10,02-design/technician.md DD-T04,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10; error cases in each DD,AT-T04-N;AT-T04-E;AT-T04-B;,OK
FR-T05,Inspection forms and reasons for skipped inspections,00-prepare/PrepareDocument.md BIZ-10,02-design/technician.md DD-T05,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10; error cases in each DD,AT-T05-N;AT-T05-E;AT-T05-B;,OK
FR-T06,Inspection forms and reasons for skipped inspections,00-prepare/PrepareDocument.md BIZ-10,02-design/technician.md DD-T06,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10; error cases in each DD,AT-T06-N;AT-T06-E;AT-T06-B;,OK
FR-T07,"Possible causes, evidence, and resolution procedure",00-prepare/PrepareDocument.md BIZ-08;BIZ-11;BIZ-17,02-design/technician.md DD-T07,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.acknowledge;alerts.get;alerts.list;alerts.resolve,D01/D04/D10; error cases in each DD,AT-T07-N;AT-T07-E;AT-T07-B;,OK
FR-T08,"Start, submission, and resubmission states",00-prepare/PrepareDocument.md BIZ-12,02-design/technician.md DD-T08,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,jobs.get;jobs.resumeRework;jobs.start;jobs.submit;reports.get;units.get,D01/D04/D10; error cases in each DD,AT-T08-N;AT-T08-E;AT-T08-B;,OK
FR-T09,"Manage photos, replacement parts, and report versions",00-prepare/PrepareDocument.md BIZ-12,02-design/technician.md DD-T09,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,attachments.add;attachments.getContent;jobs.get;jobs.saveDraft;jobs.submit;reports.get;units.get,D01/D04/D10; error cases in each DD,AT-T09-N;AT-T09-E;AT-T09-B;,OK
FR-T10,Technician operation permissions and test-run procedure,00-prepare/PrepareDocument.md BIZ-13,02-design/technician.md DD-T10,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.create;commands.get;diagnosticRuns.create;diagnosticRuns.get;diagnosticRuns.list;jobs.get;units.get,D01/D04/D10; error cases in each DD,AT-T10-N;AT-T10-E;AT-T10-B;AT-T10-R01;,OK
FR-T11,"Simulated registration, calibration, and update procedures",00-prepare/PrepareDocument.md BIZ-20,02-design/technician.md DD-T11,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,devices.bind;devices.calibrate;devices.calibrations;devices.check;devices.get;devices.list;devices.operations;devices.register;devices.updateFirmware;jobs.list;units.get;units.list,D01/D04/D10; error cases in each DD,AT-T11-N;AT-T11-E;AT-T11-B;AT-T11-R01;,OK
FR-T12,"Distinguish communication loss, power loss, and removal",00-prepare/PrepareDocument.md BIZ-20,02-design/technician.md DD-T12,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.acknowledge;alerts.get;devices.addResponseNote;devices.events;devices.get,D01/D04/D10; error cases in each DD,AT-T12-N;AT-T12-E;AT-T12-B;,OK
FR-A01,Overall summary and links to assigned work,00-prepare/PrepareDocument.md BIZ-04;BIZ-08,02-design/admin.md DD-A01,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,admin.summary,D01/D04/D10; error cases in each DD,AT-A01-N;AT-A01-E;AT-A01-B;,OK
FR-A02,"Registration, editing, and archiving",00-prepare/PrepareDocument.md BIZ-07,02-design/admin.md DD-A02,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,capabilities.list;commands.create;commands.get;customers.list;customers.save;diagnosticRuns.get;diagnosticRuns.list;organizations.list;organizations.save;properties.list;properties.save;spaces.list;spaces.save;units.archive;units.delete;units.get;units.list;units.save,D01/D04/D10; error cases in each DD,AT-A02-N;AT-A02-E;AT-A02-B;,OK
FR-A03,"Manage permissions, organization membership, and assignment periods",00-prepare/PrepareDocument.md BIZ-04,02-design/admin.md DD-A03,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,members.list;members.save;organizations.list,D01/D04/D10; error cases in each DD,AT-A03-N;AT-A03-E;AT-A03-B;,OK
FR-A04,Edit model capabilities and the IoT register,00-prepare/PrepareDocument.md BIZ-06;BIZ-20,02-design/admin.md DD-A04,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,capabilities.list;capabilities.save;devices.bind;devices.calibrate;devices.calibrations;devices.check;devices.get;devices.list;devices.operations;devices.register;devices.updateFirmware;units.get;units.list,D01/D04/D10; error cases in each DD,AT-A04-N;AT-A04-E;AT-A04-B;AT-LOOP-004;AT-LOOP-005,OK
FR-A05,Threshold settings and alert handling,00-prepare/PrepareDocument.md BIZ-08;BIZ-11;BIZ-17,02-design/admin.md DD-A05,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,alerts.acknowledge;alerts.get;alerts.list;alerts.resolve;notifications.preview;notifications.recipients;policies.get;policies.list;policies.save;units.get;units.list,D01/D04/D10; error cases in each DD,AT-A05-N;AT-A05-E;AT-A05-B;,OK
FR-A06,"Intake, contracting, and quality review",00-prepare/PrepareDocument.md BIZ-12,02-design/admin.md DD-A06,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,attachments.getContent;jobs.assign;jobs.cancel;jobs.create;jobs.extendAccess;jobs.get;jobs.hold;jobs.list;jobs.offer;jobs.resumeHold;jobs.review;jobs.saveCost;members.eligible;organizations.list;plans.generateNext;plans.get;plans.list;plans.save;reports.get;units.list,D01/D04/D10; error cases in each DD,AT-A06-N;AT-A06-E;AT-A06-B;,OK
FR-A07,Plan and contract editing,00-prepare/PrepareDocument.md BIZ-21,02-design/admin.md DD-A07,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,contracts.list;contracts.save;customers.list;units.list,D01/D04/D10; error cases in each DD,AT-A07-N;AT-A07-E;AT-A07-B;,OK
FR-A08,Billing and simulated payment confirmation,00-prepare/PrepareDocument.md BIZ-21;BIZ-22,02-design/admin.md DD-A08,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,contracts.list;inquiries.answer;inquiries.list;invoices.create;invoices.get;invoices.list;notifications.preview;notifications.recipients;payments.confirm;payments.recordManual;invoices.remind,D01/D04/D10; error cases in each DD,AT-A08-N;AT-A08-E;AT-A08-B;AT-A08-R01;,OK
FR-A09,"Advance notice, execution confirmation, and device response",00-prepare/PrepareDocument.md BIZ-21,02-design/admin.md DD-A09,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,commands.get;contracts.list;invoices.list;restrictions.execute;restrictions.get;restrictions.list;restrictions.reconcile;restrictions.release;restrictions.retry;restrictions.schedule;units.get;units.list,D01/D04/D10; error cases in each DD,AT-A09-N;AT-A09-E;AT-A09-B;AT-A09-R01;,OK
FR-A10,"Grace periods, exceptions, and audit procedures",00-prepare/PrepareDocument.md BIZ-21,02-design/admin.md DD-A10,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,audit.list;restrictions.cancel;restrictions.defer;restrictions.exempt;restrictions.get;restrictions.list;restrictions.override;restrictions.reconcile;restrictions.retry,D01/D04/D10; error cases in each DD,AT-A10-N;AT-A10-E;AT-A10-B;,OK
FR-A11,Condition settings and simulation,00-prepare/PrepareDocument.md BIZ-14;BIZ-16;BIZ-17,02-design/admin.md DD-A11,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,automations.fire;automations.simulate;policies.get;policies.list;policies.save;units.get;units.list,D01/D04/D10; error cases in each DD,AT-A11-N;AT-A11-E;AT-A11-B;AT-A11-R01;,OK
FR-A12,Ventilation rules and missing-data handling,00-prepare/PrepareDocument.md BIZ-18;BIZ-19,02-design/admin.md DD-A12,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,automations.fire;automations.simulate;commands.create;commands.get;notifications.recipients;policies.get;policies.list;policies.save;telemetry.series;units.get;units.list,D01/D04/D10; error cases in each DD,AT-A12-N;AT-A12-E;AT-A12-B;,OK
FR-A13,Manage baseline versions and calculation conditions,00-prepare/PrepareDocument.md BIZ-23;BIZ-25,02-design/admin.md DD-A13,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,baselines.list;baselines.save;energy.summary;units.list,D01/D04/D10; error cases in each DD,AT-A13-N;AT-A13-E;AT-A13-B;,OK
FR-A14,"Report fields, evidence, and preview",00-prepare/PrepareDocument.md BIZ-25,02-design/admin.md DD-A14,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,baselines.list;factors.list;factors.save;mrv.get;mrv.list;mrv.preview;mrv.recordReview;mrv.saveDraft;mrv.versions;organizations.list;units.list,D01/D04/D10; error cases in each DD,AT-A14-N;AT-A14-E;AT-A14-B;AT-A14-R01;,OK
FR-A15,Preview simulated retirement and the market concept,00-prepare/PrepareDocument.md BIZ-24;BIZ-26,02-design/admin.md DD-A15,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,customers.list;offsets.list;offsets.preview;offsets.simulate;units.list,D01/D04/D10; error cases in each DD,AT-A15-N;AT-A15-E;AT-A15-B;,OK
FR-A16,Audit filters and correlation IDs,00-prepare/PrepareDocument.md BIZ-20,02-design/admin.md DD-A16,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,audit.list;devices.events,D01/D04/D10; error cases in each DD,AT-A16-N;AT-A16-E;AT-A16-B;,OK
FR-X01,"Four-role demo, initial en/ms languages, and reset wording",00-prepare/PrepareDocument.md BIZ-01;BIZ-02,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-X01;,OK
FR-X02,"Extend voice responses to temperature queries, device operations, and inquiries; voice demo, text alternative, and change confirmation",00-prepare/PrepareDocument.md BIZ-03,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-X02;,OK
FR-X03,"Color meanings, units, quality, and cues other than color",00-prepare/PrepareDocument.md BIZ-09;BIZ-18,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-X03;,OK
FR-X04,"Display limits based on role, assignment, period, and capability",00-prepare/PrepareDocument.md BIZ-04,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-X04;AT-LOOP-001;AT-LOOP-002,OK
FR-X05,"Distinguish shared mocks, reset, and real processing",00-prepare/PrepareDocument.md BIZ-05,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-X05;,OK
FR-X06,Model capabilities and screen availability checks,00-prepare/PrepareDocument.md BIZ-05;BIZ-06;BIZ-12;BIZ-19,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-X06;AT-LOOP-004,OK
FR-X07,"Read status, related screens, and operation history",00-prepare/PrepareDocument.md BIZ-08;BIZ-20;BIZ-22,02-design/common.md DD-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-X07;,OK
NFR-01,"Initial languages and quality targets are design proposals, not final company decisions",00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-NFR01;,OK
NFR-02,"Initial languages and quality targets are design proposals, not final company decisions",00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-NFR02;,OK
NFR-03,"Initial languages and quality targets are design proposals, not final company decisions",00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-NFR03;,OK
NFR-04,"Initial languages and quality targets are design proposals, not final company decisions",00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-NFR04;,OK
NFR-05,"Initial languages and quality targets are design proposals, not final company decisions",00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-NFR05;,OK
NFR-06,"Initial languages and quality targets are design proposals, not final company decisions",00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-NFR06;,OK
NFR-07,"Initial languages and quality targets are design proposals, not final company decisions",00-prepare/PrepareDocument.md BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-NFR07;,OK
NFR-08,"Initial languages and quality targets are design proposals, not final company decisions",00-prepare/PrepareDocument.md BIZ-02,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,03-uiux/screen-catalog.csv;03-uiux/UIUXSpecification.md,Common contract: operation-catalog.csv (outside HTTP scope),D01/D04/D10; error cases in each DD,AT-NFR08;,OK
