Requirement ID,Requirement,Prepare,Detailed Design,UI/UX,API,Error Handling,Testable,Status
FR-X05,"Distinguish shared mocks, reset, and real processing",Prepare BIZ-05,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-X05; ,OK
FR-X06,Model capabilities and screen availability checks,Prepare BIZ-05;BIZ-06;BIZ-12;BIZ-19,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-X06; ,OK
FR-X07,"Read status, related screens, and operation history",Prepare BIZ-08;BIZ-20;BIZ-22,02-design/common.md DD-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-X07; ,OK
NFR-01,"Initial languages and quality targets are design proposals, not final company decisions",Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-NFR01; ,OK
NFR-02,"Initial languages and quality targets are design proposals, not final company decisions",Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-NFR02; ,OK
NFR-03,"Initial languages and quality targets are design proposals, not final company decisions",Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-NFR03; AT-REV16-004,OK
NFR-04,"Initial languages and quality targets are design proposals, not final company decisions",Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-NFR04; ,OK
NFR-05,"Initial languages and quality targets are design proposals, not final company decisions",Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-NFR05; AT-REV16-006,OK
NFR-06,"Initial languages and quality targets are design proposals, not final company decisions",Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-NFR06; ,OK
NFR-07,"Initial languages and quality targets are design proposals, not final company decisions",Prepare BIZ-05,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-NFR07; AT-REV16-007,OK
NFR-08,"Initial languages and quality targets are design proposals, not final company decisions",Prepare BIZ-02,02-design/common.md;03-uiux/UIUXSpecification.md DD-COMMON;UX-COMMON,SCR-C01;SCR-C02;SCR-C03;SCR-C04;SCR-C06;SCR-C07;SCR-C08;SCR-C09;SCR-C10;SCR-C11;SCR-C13;SCR-P01;SCR-P02;SCR-P03;SCR-P04;SCR-P05;SCR-P06;SCR-P07;SCR-T01;SCR-T02;SCR-T04;SCR-T07;SCR-T10;SCR-T11;SCR-T12;SCR-A01;SCR-A02;SCR-A03;SCR-A04;SCR-A05;SCR-A06;SCR-A07;SCR-A08;SCR-A09;SCR-A10;SCR-A11;SCR-A12;SCR-A13;SCR-A14;SCR-A15;SCR-A16;SCR-X-login;SCR-X-forgot-password;SCR-X-settings-preferences;SCR-X-notifications;SCR-X-demo;SCR-X-forbidden,Common Repository/nonfunctional requirements (real HTTP outside scope),D01/D04/D10/DDC-03; boundary conditions in each DD,Defined in documents / application not executed; AT-NFR08; ,OK
